canonical_index,canonical_id,arcana,suit,rank,title,primary_uid,primary_source_rel,primary_source_paths,source_filename_number,identity_evidence,mapping_confidence,artwork_state,qa_verdict,recommended_action,alternate_uids,notes
13,CORE_13,Core Arcana,,XIII,The Transformation,U001,Cards_13_19\CORE_13_The_Transformation_v1.png,Cards_13_19\CORE_13_The_Transformation_v1.png,13,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 13.
14,CORE_14,Core Arcana,,XIV,The Moderation,U002,Cards_13_19\CORE_14_The_Moderation_v1.png,Cards_13_19\CORE_14_The_Moderation_v1.png,14,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 14.
15,CORE_15,Core Arcana,,XV,The Entanglement,U003,Cards_13_19\CORE_15_The_Entanglement_v1.png,Cards_13_19\CORE_15_The_Entanglement_v1.png,15,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 15.
16,CORE_16,Core Arcana,,XVI,The Awakening,U004,Cards_13_19\CORE_16_The_Awakening_v1.png,Cards_13_19\CORE_16_The_Awakening_v1.png,16,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 16.
17,CORE_17,Core Arcana,,XVII,The Guidance,U005,Cards_13_19\CORE_17_The_Guidance_v1.png,Cards_13_19\CORE_17_The_Guidance_v1.png,17,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 17.
18,CORE_18,Core Arcana,,XVIII,The Mystery,U006,Cards_13_19\CORE_18_The_Mystery_v1.png,Cards_13_19\CORE_18_The_Mystery_v1.png,18,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 18.
19,CORE_19,Core Arcana,,XIX,The Radiance,U007,Cards_13_19\CORE_19_The_Radiance_v1.png,Cards_13_19\CORE_19_The_Radiance_v1.png,19,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,U049,U049 is an alternate Radiance image named Card_19 in the later major-arcana folder.
20,CORE_20,Core Arcana,,XX,The Gathering,U050,Islamic_Contemplative_Deck_Cards_19_25\Card_20_The_Gathering.png,Islamic_Contemplative_Deck_Cards_19_25\Card_20_The_Gathering.png,20,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 20.
21,CORE_21,Core Arcana,,XXI,The Completion,U051,Islamic_Contemplative_Deck_Cards_19_25\Card_21_The_Completion.png,Islamic_Contemplative_Deck_Cards_19_25\Card_21_The_Completion.png,21,current deck-bundle mapping; explicit title in filename,high,selected_existing,pass,retain,,Canonical major-arcana slot 21.
22,QALAM_ACE,Minor Arcana,Qalam,Ace,Ace of Qalam,U052,Islamic_Contemplative_Deck_Cards_19_25\Card_22_Ace_of_Qalam.png,Islamic_Contemplative_Deck_Cards_19_25\Card_22_Ace_of_Qalam.png,22,current deck-bundle mapping; explicit suit/rank in filename,high,selected_existing,pass,retain,,Canonical Qalam begins at deck index 22.
23,QALAM_02,Minor Arcana,Qalam,2,Two of Qalam,U053,Islamic_Contemplative_Deck_Cards_19_25\Card_23_Two_of_Qalam.png,Islamic_Contemplative_Deck_Cards_19_25\Card_23_Two_of_Qalam.png,23,current deck-bundle mapping; explicit suit/rank in filename,high,selected_existing,pass,retain,,Canonical Qalam index 23.
24,QALAM_03,Minor Arcana,Qalam,3,Three of Qalam,U054,Islamic_Contemplative_Deck_Cards_19_25\Card_24_Three_of_Qalam.png,Islamic_Contemplative_Deck_Cards_19_25\Card_24_Three_of_Qalam.png,24,current deck-bundle mapping; explicit suit/rank in filename,high,selected_existing,pass,retain,U008,U008 is the duplicated alternative named card_25_three_of_qalam; its filename is one higher than the canonical deck index.
25,QALAM_04,Minor Arcana,Qalam,4,Four of Qalam,U055,Islamic_Contemplative_Deck_Cards_19_25\Card_25_Four_of_Qalam.png,Islamic_Contemplative_Deck_Cards_19_25\Card_25_Four_of_Qalam.png,25,current deck-bundle mapping; explicit suit/rank in filename,high,selected_existing,pass,retain,U009,U009 is the duplicated alternative named card_26_four_of_qalam; its filename is one higher than the canonical deck index.
26,QALAM_05,Minor Arcana,Qalam,5,Five of Qalam,U010,Cards_25_31\card_27_five_of_qalam.png,Cards_25_31\card_27_five_of_qalam.png | tarot_cards_25_31_complete\card_27_five_of_qalam.png,27,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,pass,retain,,The two listed paths are byte-identical copies recorded as one unique image.
27,QALAM_06,Minor Arcana,Qalam,6,Six of Qalam,U063,tarot_cards_25_31_complete\card_28_six_of_qalam_v2.png,tarot_cards_25_31_complete\card_28_six_of_qalam_v2.png,28,current deck-bundle mapping; explicit suit/rank; v2 selected over v1,medium,selected_existing,pass,retain,U011,U011 is the v1 image and has a duplicated copy; both are alternatives to the selected v2.
28,QALAM_07,Minor Arcana,Qalam,7,Seven of Qalam,U012,Cards_25_31\card_29_seven_of_qalam.png,Cards_25_31\card_29_seven_of_qalam.png | tarot_cards_25_31_complete\card_29_seven_of_qalam.png,29,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,borderline,consider redo,,The image is counted but retains a guarded-threshold idea; duplicate paths are byte-identical.
29,QALAM_08,Minor Arcana,Qalam,8,Eight of Qalam,U013,Cards_25_31\card_30_eight_of_qalam.png,Cards_25_31\card_30_eight_of_qalam.png | tarot_cards_25_31_complete\card_30_eight_of_qalam.png,30,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,redo_now,regenerate,,The image is dominated by eight repeated papers; duplicate paths are byte-identical.
30,QALAM_09,Minor Arcana,Qalam,9,Nine of Qalam,U015,Cards_31_37\CARD_31_Nine_of_Qalam_v2.png,Cards_31_37\CARD_31_Nine_of_Qalam_v2.png,31,current deck-bundle mapping; explicit suit/rank; v2 selected over alternate,medium,selected_existing,pass,retain,U014,U014 is the duplicated v1-style alternative and is flagged for redo; the selected v2 is the current canonical source.
31,QALAM_10,Minor Arcana,Qalam,10,Ten of Qalam,U016,Cards_31_37\CARD_32_Ten_of_Qalam_v1.png,Cards_31_37\CARD_32_Ten_of_Qalam_v1.png,32,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,redo_now,regenerate,,The stack of ten scrolls reads as literal burden/counting.
32,QALAM_SEEKER,Minor Arcana,Qalam,Seeker,Seeker of Qalam,U017,Cards_31_37\CARD_33_Seeker_of_Qalam_v1.png,Cards_31_37\CARD_33_Seeker_of_Qalam_v1.png,33,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,,Canonical court-rank mapping.
33,QALAM_SCHOLAR,Minor Arcana,Qalam,Scholar,Scholar of Qalam,U018,Cards_31_37\CARD_34_Scholar_of_Qalam_v1.png,Cards_31_37\CARD_34_Scholar_of_Qalam_v1.png,34,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,,Canonical court-rank mapping.
34,QALAM_GUARDIAN,Minor Arcana,Qalam,Guardian,Guardian of Qalam,U019,Cards_31_37\CARD_35_Guardian_of_Qalam_v1.png,Cards_31_37\CARD_35_Guardian_of_Qalam_v1.png,35,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,,Canonical court-rank mapping.
35,QALAM_SAGE,Minor Arcana,Qalam,Sage,Sage of Qalam,U020,Cards_31_37\CARD_36_Sage_of_Qalam_v1.png,Cards_31_37\CARD_36_Sage_of_Qalam_v1.png,36,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,,Canonical court-rank mapping.
36,NOOR_ACE,Minor Arcana,Noor,Ace,Ace of Noor,U021,Cards_31_37\CARD_37_Ace_of_Noor_v1.png,Cards_31_37\CARD_37_Ace_of_Noor_v1.png,37,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,pass,retain,U064,U064 is a later alternate Ace of Noor with the same filename number.
37,NOOR_02,Minor Arcana,Noor,2,Two of Noor,U065,tarot_cards_37_43\card_38_two_of_noor.png,tarot_cards_37_43\card_38_two_of_noor.png,38,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,pass,retain,,Canonical Noor first batch is numbered one above the deck index.
38,NOOR_03,Minor Arcana,Noor,3,Three of Noor,U066,tarot_cards_37_43\card_39_three_of_noor.png,tarot_cards_37_43\card_39_three_of_noor.png,39,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,pass,retain,,Canonical Noor first batch is numbered one above the deck index.
39,NOOR_04,Minor Arcana,Noor,4,Four of Noor,U067,tarot_cards_37_43\card_40_four_of_noor.png,tarot_cards_37_43\card_40_four_of_noor.png,40,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,redo_now,regenerate,,Four glasses are the dominant composition.
40,NOOR_05,Minor Arcana,Noor,5,Five of Noor,U068,tarot_cards_37_43\card_41_five_of_noor.png,tarot_cards_37_43\card_41_five_of_noor.png,41,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,borderline,consider redo,,Spilled cups and grief read clearly but remain conventional.
41,NOOR_06,Minor Arcana,Noor,6,Six of Noor,U069,tarot_cards_37_43\card_42_six_of_noor.png,tarot_cards_37_43\card_42_six_of_noor.png,42,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,redo_now,regenerate,,Six basins dominate the composition.
42,NOOR_07,Minor Arcana,Noor,7,Seven of Noor,U070,tarot_cards_37_43\card_43_seven_of_noor.png,tarot_cards_37_43\card_43_seven_of_noor.png,43,current deck-bundle mapping; explicit suit/rank; filename offset +1,medium,selected_existing,pass,retain,,Filename 43 is shared with the next batch's Eight of Noor; semantic title resolves the identity.
43,NOOR_08,Minor Arcana,Noor,8,Eight of Noor,U056,Islamic_Contemplative_Deck_Cards_43_49\Card_43_Eight_of_Noor.png,Islamic_Contemplative_Deck_Cards_43_49\Card_43_Eight_of_Noor.png,43,current deck-bundle mapping; explicit suit/rank; later batch is correctly numbered,high,selected_existing,pass,retain,,The same filename number 43 is not a duplicate identity; this is the distinct Eight of Noor.
44,NOOR_09,Minor Arcana,Noor,9,Nine of Noor,U057,Islamic_Contemplative_Deck_Cards_43_49\Card_44_Nine_of_Noor.png,Islamic_Contemplative_Deck_Cards_43_49\Card_44_Nine_of_Noor.png,44,current deck-bundle mapping; explicit suit/rank,high,selected_existing,redo_now,regenerate,,Nine cups in a row overwhelm the contemplative meaning.
45,NOOR_10,Minor Arcana,Noor,10,Ten of Noor,U058,Islamic_Contemplative_Deck_Cards_43_49\Card_45_Ten_of_Noor.png,Islamic_Contemplative_Deck_Cards_43_49\Card_45_Ten_of_Noor.png,45,current deck-bundle mapping; explicit suit/rank,high,selected_existing,redo_now,regenerate,,Banquet and many cups read as a literal pip scene.
46,NOOR_SEEKER,Minor Arcana,Noor,Seeker,Seeker of Noor,U059,Islamic_Contemplative_Deck_Cards_43_49\Card_46_Seeker_of_Noor.png,Islamic_Contemplative_Deck_Cards_43_49\Card_46_Seeker_of_Noor.png,46,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,,Canonical court-rank mapping.
47,NOOR_SCHOLAR,Minor Arcana,Noor,Scholar,Scholar of Noor,U060,Islamic_Contemplative_Deck_Cards_43_49\Card_47_Scholar_of_Noor.png,Islamic_Contemplative_Deck_Cards_43_49\Card_47_Scholar_of_Noor.png,47,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,,Canonical court-rank mapping.
48,NOOR_GUARDIAN,Minor Arcana,Noor,Guardian,Guardian of Noor,U061,Islamic_Contemplative_Deck_Cards_43_49\Card_48_Guardian_of_Noor.png,Islamic_Contemplative_Deck_Cards_43_49\Card_48_Guardian_of_Noor.png,48,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,,Canonical court-rank mapping.
49,NOOR_SAGE,Minor Arcana,Noor,Sage,Sage of Noor,U062,Islamic_Contemplative_Deck_Cards_43_49\Card_49_Sage_of_Noor.png,Islamic_Contemplative_Deck_Cards_43_49\Card_49_Sage_of_Noor.png,49,current deck-bundle mapping; explicit court-rank title in filename,high,selected_existing,pass,retain,U071,U071 is an alternate Sage of Noor from the next numbered batch.
50,MIZAN_ACE,Minor Arcana,Mizan,Ace,Ace of Mizan,U072,tarot_cards_49_to_55 (1)\card_50_ace_of_mizan.png,tarot_cards_49_to_55 (1)\card_50_ace_of_mizan.png,50,current deck-bundle mapping; explicit suit/rank,high,selected_existing,pass,retain,,Canonical Mizan begins at deck index 50.
51,MIZAN_02,Minor Arcana,Mizan,2,Two of Mizan,U073,tarot_cards_49_to_55 (1)\card_51_two_of_mizan.png,tarot_cards_49_to_55 (1)\card_51_two_of_mizan.png,51,current deck-bundle mapping; explicit suit/rank,high,selected_existing,borderline,consider redo,,Two curtains/shadows are literal but the empty pause is defensible.
52,MIZAN_03,Minor Arcana,Mizan,3,Three of Mizan,U074,tarot_cards_49_to_55 (1)\card_52_three_of_mizan.png,tarot_cards_49_to_55 (1)\card_52_three_of_mizan.png,52,current deck-bundle mapping; explicit suit/rank,high,selected_existing,redo_now,regenerate,,Three repeated blade-like mirrors make the numeral the main idea.
53,MIZAN_04,Minor Arcana,Mizan,4,Four of Mizan,U075,tarot_cards_49_to_55 (1)\card_53_four_of_mizan.png,tarot_cards_49_to_55 (1)\card_53_four_of_mizan.png,53,current deck-bundle mapping; explicit suit/rank,high,selected_existing,redo_now,regenerate,,Four blades around a lamp are the literal Four-of-Swords failure.
54,MIZAN_05,Minor Arcana,Mizan,5,Five of Mizan,U076,tarot_cards_49_to_55 (1)\card_54_five_of_mizan.png,tarot_cards_49_to_55 (1)\card_54_five_of_mizan.png,54,current deck-bundle mapping; explicit suit/rank,high,selected_existing,redo_now,regenerate,U085,U085 is a noncanonical Five-of-Swords alternative from the overlapping folder.
55,MIZAN_06,Minor Arcana,Mizan,6,Six of Mizan,U077,tarot_cards_49_to_55 (1)\card_55_six_of_mizan.png,tarot_cards_49_to_55 (1)\card_55_six_of_mizan.png,55,current deck-bundle mapping; explicit suit/rank,high,selected_existing,borderline,consider redo,U086,U086 is a noncanonical Six-of-Swords alternative; the selected image has the stronger passage motif.
56,MIZAN_07,Minor Arcana,Mizan,7,Seven of Mizan,U087,Tarrot Cards 55-61\card_57_seven_of_swords.png,Tarrot Cards 55-61\card_57_seven_of_swords.png,57,current deck-bundle mapping; semantic rank plus sequential gap; suit label says swords,medium,selected_existing,redo_now,regenerate,,Treat as Mizan only because it fills the canonical 7 slot and is the sole numbered candidate; the source naming is wrong.
57,MIZAN_08,Minor Arcana,Mizan,8,Eight of Mizan,U088,Tarrot Cards 55-61\card_58_eight_of_swords.png,Tarrot Cards 55-61\card_58_eight_of_swords.png,58,current deck-bundle mapping; semantic rank plus sequential gap; suit label says swords,medium,selected_existing,redo_now,regenerate,,Treat as Mizan only because it fills the canonical 8 slot; blindfold-and-swords image is conventional and literal.
58,MIZAN_09,Minor Arcana,Mizan,9,Nine of Mizan,U089,Tarrot Cards 55-61\card_59_nine_of_swords.png,Tarrot Cards 55-61\card_59_nine_of_swords.png,59,current deck-bundle mapping; semantic rank plus sequential gap; suit label says swords,medium,selected_existing,redo_now,regenerate,,Treat as Mizan only because it fills the canonical 9 slot; conventional counted swords image.
59,MIZAN_10,Minor Arcana,Mizan,10,Ten of Mizan,U090,Tarrot Cards 55-61\card_60_ten_of_swords.png,Tarrot Cards 55-61\card_60_ten_of_swords.png,60,current deck-bundle mapping; semantic rank plus sequential gap; suit label says swords,medium,selected_existing,redo_now,regenerate,,Treat as Mizan only because it fills the canonical 10 slot; conventional counted swords image.
60,MIZAN_SEEKER,Minor Arcana,Mizan,Seeker,Seeker of Mizan,U091,Tarrot Cards 55-61\card_61_page_of_swords.png,Tarrot Cards 55-61\card_61_page_of_swords.png,61,current deck-bundle mapping; Page is the source-folder analogue of the canonical Seeker rank,medium,selected_existing,pass,retain,,Rank translation is explicit in the deck taxonomy but not in the filename.
61,MIZAN_SCHOLAR,Minor Arcana,Mizan,Scholar,Scholar of Mizan,U078,tarot_cards_61_67\card_61_mizan_scholar.png,tarot_cards_61_67\card_61_mizan_scholar.png,61,current deck-bundle mapping; explicit suit/rank,high,selected_existing,pass,retain,,Filename 61 overlaps the swords folder's Seeker source but semantic title resolves it.
62,MIZAN_GUARDIAN,Minor Arcana,Mizan,Guardian,Guardian of Mizan,U079,tarot_cards_61_67\card_62_mizan_guardian.png,tarot_cards_61_67\card_62_mizan_guardian.png,62,current deck-bundle mapping; explicit suit/rank,high,selected_existing,pass,retain,,Canonical court-rank mapping.
63,MIZAN_SAGE,Minor Arcana,Mizan,Sage,Sage of Mizan,U080,tarot_cards_61_67\card_63_mizan_sage.png,tarot_cards_61_67\card_63_mizan_sage.png,63,current deck-bundle mapping; explicit suit/rank,high,selected_existing,pass,retain,,Canonical court-rank mapping.
64,ARD_ACE,Minor Arcana,Ard,Ace,Ace of Ard,U081,tarot_cards_61_67\card_64_ace_of_ard.png,tarot_cards_61_67\card_64_ace_of_ard.png,64,current deck-bundle mapping; explicit suit/rank,high,selected_existing,pass,retain,,Canonical Ard begins at deck index 64.
65,ARD_02,Minor Arcana,Ard,2,Two of Ard,U082,tarot_cards_61_67\card_65_two_of_ard.png,tarot_cards_61_67\card_65_two_of_ard.png,65,current deck-bundle mapping; explicit suit/rank,high,selected_existing,pass,retain,,Canonical Ard index 65.
66,ARD_03,Minor Arcana,Ard,3,Three of Ard,U083,tarot_cards_61_67\card_66_three_of_ard.png,tarot_cards_61_67\card_66_three_of_ard.png,66,current deck-bundle mapping; explicit suit/rank,high,selected_existing,pass,retain,,Canonical Ard index 66.
67,ARD_04,Minor Arcana,Ard,4,Four of Ard,U084,tarot_cards_61_67\card_67_four_of_ard.png,tarot_cards_61_67\card_67_four_of_ard.png,67,current deck-bundle mapping; explicit suit/rank,high,selected_existing,redo_now,regenerate,,Four coins on a chest are static inventory.
68,ARD_05,Minor Arcana,Ard,5,Five of Ard,"","","","",QA candidate U033 is the best visible semantic match; no explicit title or deck-bundle source,low,missing_candidate,unresolved,confirm U033 or regenerate,U033,The current app bundle marks ARD_05 missing. U033 is preserved as a candidate alternative only; it shows two people in winter hardship and needs human confirmation.
69,ARD_06,Minor Arcana,Ard,6,Six of Ard,U022,Final Phase Miscelaneous\70.png,Final Phase Miscelaneous\70.png,70,current deck-bundle mapping; numbered final-phase file plus visual generosity scene,medium,selected_existing,pass,retain,U031,U031 is an unnamed alternative showing bread exchange and may be preferable if a later visual selection is authorized.
70,ARD_07,Minor Arcana,Ard,7,Seven of Ard,U023,Final Phase Miscelaneous\71.png,Final Phase Miscelaneous\71.png,71,current deck-bundle mapping; numbered final-phase file plus visual cultivation scene,medium,selected_existing,pass,retain,U035,U035 is an unnamed literal seven-coin alternative and is flagged for redo.
71,ARD_08,Minor Arcana,Ard,8,Eight of Ard,U024,Final Phase Miscelaneous\72.png,Final Phase Miscelaneous\72.png,72,current deck-bundle mapping; numbered final-phase file plus visual craft scene,medium,selected_existing,pass,retain,U034,U034 is an unnamed eight-coin alternative and is flagged for redo.
72,ARD_09,Minor Arcana,Ard,9,Nine of Ard,U025,Final Phase Miscelaneous\73.png,Final Phase Miscelaneous\73.png,73,current deck-bundle mapping; numbered final-phase file plus visual harvest scene,medium,selected_existing,borderline,consider redo,U032,U032 is an unnamed pomegranate alternative; both candidates are literal but the living tree adds metaphor.
73,ARD_10,Minor Arcana,Ard,10,Ten of Ard,U026,Final Phase Miscelaneous\74.png,Final Phase Miscelaneous\74.png,74,current deck-bundle mapping; numbered final-phase file plus visual community-prosperity scene,medium,selected_existing,pass,retain,,Numbered final-phase file is the current canonical source.
74,ARD_SEEKER,Minor Arcana,Ard,Seeker,Seeker of Ard,U027,Final Phase Miscelaneous\75.png,Final Phase Miscelaneous\75.png,75,current deck-bundle mapping; numbered final-phase file plus apprentice-craft scene,medium,selected_existing,pass,retain,,Numbered final-phase file is the current canonical source.
75,ARD_SCHOLAR,Minor Arcana,Ard,Scholar,Scholar of Ard,U028,Final Phase Miscelaneous\76.png,Final Phase Miscelaneous\76.png,76,current deck-bundle mapping; numbered final-phase file plus irrigation-study scene,medium,selected_existing,pass,retain,,Numbered final-phase file is the current canonical source.
76,ARD_GUARDIAN,Minor Arcana,Ard,Guardian,Guardian of Ard,U029,Final Phase Miscelaneous\77.png,Final Phase Miscelaneous\77.png,77,current deck-bundle mapping; numbered final-phase file plus stewardship figure,medium,selected_existing,borderline,consider redo,,The visual is a seated figure with a large token and is less aligned to the builder prompt than the surrounding Ard cards.
77,ARD_SAGE,Minor Arcana,Ard,Sage,Sage of Ard,U030,Final Phase Miscelaneous\78.jpeg,Final Phase Miscelaneous\78.jpeg,78,current deck-bundle mapping; numeric filename outside 0-77 plus visual garden/pavilion scene,low,selected_existing,unresolved,confirm naming and suitability,,The source filename is 78; outside the canonical 0-77 range; preserve as source but treat the mapping as provisional.
